# release	go1.27.0
# source	https://go.dev/dl/go1.27.0.src.tar.gz
# source_sha256	7002403d7cc44529ef6d26f69a44818263395ead7c16c05a5808ae047ebeb0e5
# license	BSD-3-Clause
# generated_by	tools/go-corpus/refresh.sh
# path	action	bytes	sha256
test/chan/sieve2.go	run	3978	29ff3b13ec95947d31f97d9a2fc378165c97581b7054b011017b61366bd7a3a3
test/chan/zerosize.go	run	349	690f0d35dac9b6643165724c29f0b2176a4dae8977f30ce73c2457588d265a51
test/chancap.go	run	1612	d1e8b0cf5e6a6cbeb5b9ed7e5c0b92ebc82b94285c2a78bd3311a6a6d1a33687
test/chanlinear.go	run	2172	72959245dbb2cb03eaacf5425a2a69dfcfab36546ab3a712e67f7c29d8d74f8c
test/char_lit.go	run	657	a564a0a6031ae143fafa3b03b85214d69354cc5b7bb63baff20335a981dde053
test/char_lit1.go	errorcheck	822	da0e5854c860c2081cd0da3ddd3c2b59f9547daacd00a7bbd668a987d6246100
test/checkbce.go	errorcheck	3537	fa6587bdbc739c50c46c52d1afe5e3949ad832c80dcb1a32eb7f2b91400fdb7a
test/clear.go	run	743	06213c5b19720ad376715f3626eb05e49eff900850274ddf6828feac91e8aab6
test/clearfat.go	runoutput	1177	92ee4ea76e79774b5558faea79bf5a413254dd038a12f3e003f49ccef71aa701
test/closedchan.go	run	5933	2abddeef3d3c1326c307f1e9b9876ff3312111295cf4e1ff9e9a5abbdde6c901
test/closure.go	run	1728	0c216e3ca8f86e83de1a62f6ff3ade5db4f14d68c47693c6cfd4b563ec5227cf
test/closure1.go	run	280	708393f8219fe46d577a9dee9bfe48f323205c03fad7e4405f0bd27dffc419cb
test/closure2.go	run	1915	1d2ecdbb24c896cebf3e066c3fec79bc8cd84b3d44a6ef5636b8e18ba52f89bb
test/closure3.dir/main.go	none	9700	98a6c8a31ada2f3087d4f7ae27701f370fc7ae861ec2dcedd87be99b6d411cfe
test/closure3.go	errorcheckandrundir	358	2828436259c2298dc4075632650266f10f23cffc7182f745f69827d4583cbf34
test/closure4.go	run	364	f36b1a13e0d534e5acd4a7c2a47d6c9b90ea99d9854538fcab24008adc98a087
test/closure5.dir/a.go	none	375	9fe18733a49b12140e0d513f600e1fd19a01801d2bc5d38908875b921f791955
test/closure5.dir/main.go	none	328	b89d3ab905ec4309d68255a23b9038d40737feb1768a1f73628b48c31ce8dc82
test/closure5.go	compiledir	280	0f0e9a328a6dc581dc394d9fabc86827f5456bbfd6f84646fea148f6205b01ef
test/closure6.go	compile	346	3e57d01a327dff91ab28130757d527f890a17ddb72b2eb0a0c4bfea056e7e345
test/closure7.go	run	373	843f45e3dd15d983164445b13d336657029379bcd9e5bd0f87ba2c0696af1055
test/cmp.go	run	7808	7c0056a84c7ef3579e365d4c50a23b4b8bb110fa8b77bf560c9b4b7f313173c9
test/cmp6.go	errorcheck	2213	76fc252b280713d4f9ff14a6f21f2d0b5983fbac753c535db00bf68a37116798
test/cmplx.go	errorcheck	1427	1ab92b929de95839fc8fdf9b009c1fe40dae04bf2516ccd811cc49a8be9b7c3a
test/cmplxdivide.go	run	858	a0378f2eb4448bffa6925f45b05a69b0ea2bb24c6e290e2991da71f7b975ebe3
test/cmplxdivide1.go	none	246458	79e18b095b65e63857d8c522700a1430c8eab1c0c66a043f22b63ef9d6da36a9
test/codegen/addrcalc.go	none	324	649ec4442645db68a0a3f6c22b29e7512824f0b71e999b16970077343206adb4
test/codegen/alloc.go	none	1391	8e83bb69764b4cad69f05d68bd7393c2788146f315f64f87e36735870458e851
test/codegen/append.go	none	4183	60c7453a5d78b264ee59538b38e0251d146b62be1c86adadcbd8b4cbecb3c73e
test/codegen/append_freegc.go	none	4011	5fac06f07e65dd0da075435fc3d9375c05dfa8ea96b2683a8de213c681a6bb3a
