path	mode	verdict	state	exit	phase	family
examples/tcp-server/tcp-server.go	compiled	pass	complete	143	run	pass
examples/temporary-files-and-directories/temporary-files-and-directories.go	oracle	pass	complete	0	run	pass
examples/temporary-files-and-directories/temporary-files-and-directories.go	interpreted	pass	complete	0	run	pass
examples/temporary-files-and-directories/temporary-files-and-directories.go	compiled	pass	complete	0	run	pass
examples/testing-and-benchmarking/main_test.go	oracle	pass	complete	0	run	pass
examples/testing-and-benchmarking/main_test.go	interpreted	fail_normalization	complete	1	run	comparator-shape-or-prior-error
examples/testing-and-benchmarking/main_test.go	compiled	pass	complete	0	run	pass
examples/text-templates/text-templates.go	oracle	pass	complete	0	run	pass
examples/text-templates/text-templates.go	interpreted	pass	complete	0	run	pass
examples/text-templates/text-templates.go	compiled	pass	complete	0	run	pass
examples/tickers/tickers.go	oracle	pass	complete	0	run	pass
examples/tickers/tickers.go	interpreted	pass	complete	0	run	pass
examples/tickers/tickers.go	compiled	pass	complete	0	run	pass
examples/time-formatting-parsing/time-formatting-parsing.go	oracle	pass	complete	0	run	pass
examples/time-formatting-parsing/time-formatting-parsing.go	interpreted	pass	complete	0	run	pass
examples/time-formatting-parsing/time-formatting-parsing.go	compiled	pass	complete	0	run	pass
examples/time/time.go	oracle	pass	complete	0	run	pass
examples/time/time.go	interpreted	fail_normalization	complete	1	run	callback-or-callable-value
examples/time/time.go	compiled	pass	complete	0	run	pass
examples/timeouts/timeouts.go	oracle	pass	complete	0	run	pass
examples/timeouts/timeouts.go	interpreted	pass	complete	0	run	pass
examples/timeouts/timeouts.go	compiled	pass	complete	0	run	pass
examples/timers/timers.go	oracle	pass	complete	0	run	pass
examples/timers/timers.go	interpreted	pass	complete	0	run	pass
examples/timers/timers.go	compiled	pass	complete	0	run	pass
examples/url-parsing/url-parsing.go	oracle	pass	complete	0	run	pass
examples/url-parsing/url-parsing.go	interpreted	pass	complete	0	run	pass
examples/url-parsing/url-parsing.go	compiled	pass	complete	0	run	pass
examples/values/values.go	oracle	pass	complete	0	run	pass
examples/values/values.go	interpreted	pass	complete	0	run	pass
examples/values/values.go	compiled	pass	complete	0	run	pass
examples/variables/variables.go	oracle	pass	complete	0	run	pass
examples/variables/variables.go	interpreted	pass	complete	0	run	pass
examples/variables/variables.go	compiled	pass	complete	0	run	pass
examples/variadic-functions/variadic-functions.go	oracle	pass	complete	0	run	pass
examples/variadic-functions/variadic-functions.go	interpreted	fail_mismatch	complete	2	run	program-diagnostic
examples/variadic-functions/variadic-functions.go	compiled	pass	complete	0	run	pass
examples/waitgroups/waitgroups.go	oracle	pass	complete	0	run	pass
