# repository	https://github.com/mmcgrana/gobyexample.git
# commit	7d705626375ba0263b616865a286e1587d6989c8
# observed	2026-09-03
# license	CC-BY-3.0
# generated_by	tools/go-by-example/refresh.sh
# derived_from	docs/go-by-example/classification.tsv
# path	kind	behavior	normalization	adapter	requires	bytes	sha256
examples/reading-files/reading-files.go	program	file_input,filesystem_temp	none	input_file_fixture,tmpdir	none	2432	a865bbb658e91cb9b6ea9349a7bc5dfadf3d0d791144a3cb5bf8eaca50d21ae6
examples/recover/recover.go	program	deterministic	none	none	none	1198	e31f5a9461feee5dfba8631ebda00c7faf6b84d76f4824a17e01c858ac799399
examples/recursion/recursion.go	program	deterministic	none	none	none	778	3e64a878e9dd7226620ed33e36c74318b0d75bf9d0119ce02094c95b78353ec2
examples/regular-expressions/regular-expressions.go	program	deterministic	none	none	none	2759	061619299ede25698866c615f0a215d0188c38b8cb6f6f056a0996bffe239088
examples/select/select.go	program	concurrency,timeout	none	bounded_wait	none	830	525fca561d39e4668c6c5c724e769d0d2d7be0eda3f0bfa9929c7c626b18b58c
examples/sha256-hashes/sha256-hashes.go	program	deterministic	none	none	none	832	757a285bc845b19cd85e53f7e5c5475b72fc898fa8da12db9b02d15baab2bab7
examples/signals/signals.go	program	signals	none	signal_injector	none	991	ae3085f94eda7c2199a167f73628efaf8e3e0b17904abace594103a29008a50b
examples/slices/slices.go	program	deterministic	none	none	none	2642	8935053f17369f2769d93460588c725a0d44b0aa474cdf211f468681c16b3586
examples/sorting-by-functions/sorting-by-functions.go	program	deterministic	none	none	none	1322	b5289892f5dddf1639036b3c43cbf945046b3e7cab8287f72b71e246e24699d9
examples/sorting/sorting.go	program	deterministic	none	none	none	697	6c73638d79cf799d8de01597c9ffc53d2720e328cdfce6fb2da1301b35934805
examples/spawning-processes/spawning-processes.go	program	filesystem_cwd,process_exec	file_metadata,wallclock	fixed_env,hermetic_cwd	none	2569	928e2a97150e9dfbcad8d906eaa02db655ff25b9a66b1f187e56ea8979da4c67
examples/stateful-goroutines/stateful-goroutines.go	program	concurrency,random,timeout	throughput_count	bounded_wait,seeded_random	none	3111	dace8ea7873b85efc7092888e07786d6c636409d9387e05673b835c7e1306324
examples/string-formatting/string-formatting.go	program	pointer_identity	pointer_address	none	none	3302	08701c8c3f24d97dc32adcee28e99e994e85a9b386e3c379efafccbc55370b2a
examples/string-functions/string-functions.go	program	deterministic	none	none	none	1173	8380ad154f5972f19da7d1919e9099460d6719a560427803e0b32d8e557cebf8
examples/strings-and-runes/strings-and-runes.go	program	deterministic	none	none	none	2367	c368cb6e9c99f57b3a35a9f22730811a653d076c6eac36f3956ff65ac20d1c01
examples/struct-embedding/struct-embedding.go	program	deterministic	none	none	none	1606	01fbc16e4bdf89569b9045bbe28f14eaf2e93276edfd06d8d6b1ed3054d06847
examples/structs/structs.go	program	deterministic	none	none	none	1681	32d03d8b1dcc227191fcec17f4de0d8b7e11e9349143cff5d38c04c40713c4f2
examples/switch/switch.go	program	clock	wallclock	fake_clock	none	1336	b2699eb16c0b0bc8a5b7388077e374252c932e8fcf4708352d1a257058815d41
examples/tcp-server/tcp-server.go	program	concurrency,network_server	none	bounded_wait,loopback_server	none	1667	07d7f4491bd29ae68fa991da93a406d9746cc3dbd91afb97c36b8aa8b6cfec6c
