root	mode	first_line	verdict
package:cmd/compile/internal/noder	compiled	src/cmd/compile/internal/noder/codes.go:7:8: could not import internal/pkgbits (use of internal package internal/pkgbits not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/rangefunc	interpreted	src/cmd/compile/internal/rangefunc/rewrite.go:532:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/rangefunc	compiled	src/cmd/compile/internal/rangefunc/rewrite.go:532:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/reflectdata	interpreted	src/cmd/compile/internal/reflectdata/alg.go:13:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/reflectdata	compiled	src/cmd/compile/internal/reflectdata/alg.go:13:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/ssa	interpreted	Bash++ gotest backend: non-Go inputs	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/ssa	compiled	Bash++ gotest backend: non-Go inputs	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/ssagen	interpreted	src/cmd/compile/internal/ssagen/abi.go:9:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/ssagen	compiled	src/cmd/compile/internal/ssagen/abi.go:9:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/syntax	interpreted	src/cmd/compile/internal/syntax/error_test.go:34:2: could not import internal/testenv (use of internal package internal/testenv not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/syntax	compiled	src/cmd/compile/internal/syntax/error_test.go:34:2: could not import internal/testenv (use of internal package internal/testenv not allowed)	missing=0;wording=0;extra=0;class=-
package:cmd/compile/internal/test	interpreted	src/cmd/compile/internal/test/abiutils_test.go:9:2: could not import cmd/compile/internal/abi (use of internal package cmd/compile/internal/abi not allowed)	missing=0;wording=0;extra=0;class=-
